ChrA,StartA,EndA,ChrB,StartB,EndB,Ncontact
chr8,87500000,87510000,chr8,87510000,87520000,142.0
chr11,68900000,68910000,chr11,68910000,68920000,102.5
chr2,163900000,163910000,chr2,163910000,163920000,100.0
chr3,101080000,101090000,chr3,101090000,101100000,98.5
chr18,56610000,56620000,chr18,56620000,56630000,95.5
chr11,46200000,46210000,chr11,46210000,46220000,87.0
chr2,11090000,11100000,chr2,11100000,11110000,79.5
chr1,40520000,40530000,chr1,40530000,40540000,77.5
chr3,101070000,101080000,chr3,101080000,101090000,77.0
chr6,106740000,106750000,chr6,106750000,106760000,73.5
chr11,45890000,45900000,chr11,45900000,45910000,73.0
chr8,26720000,26730000,chr8,26730000,26740000,73.0
chr4,133170000,133180000,chr4,133180000,133190000,69.5
chr5,22920000,22930000,chr5,22930000,22940000,68.0
chr15,101080000,101090000,chr15,101090000,101100000,67.0
chr6,31150000,31160000,chr6,31160000,31170000,66.0
chr13,51880000,51890000,chr13,51890000,51900000,65.5
chr4,6900000,6910000,chr4,6910000,6920000,65.0
chr8,108570000,108580000,chr8,108580000,108590000,64.5
chr19,32340000,32350000,chr19,32350000,32360000,63.5
chr11,30080000,30090000,chr11,30090000,30100000,62.5
chr15,72970000,72980000,chr15,72980000,72990000,61.5
chr1,51630000,51640000,chr1,51640000,51650000,58.5
chr1,140180000,140190000,chr1,140190000,140200000,58.5
chr6,122240000,122250000,chr6,122250000,122260000,58.0
chr13,36890000,36900000,chr13,36900000,36910000,56.5
chr13,51890000,51900000,chr13,51900000,51910000,56.5
chr11,68240000,68250000,chr11,68250000,68260000,55.5
chr16,91470000,91480000,chr16,91480000,91490000,54.5
chr1,43510000,43520000,chr1,43520000,43530000,54.5
chr11,87550000,87560000,chr11,87570000,87580000,52.0
chr6,31160000,31170000,chr6,31170000,31180000,52.0
chr1,132890000,132900000,chr1,132900000,132910000,50.5
chr11,106390000,106400000,chr11,106400000,106410000,49.5
chr1,130500000,130510000,chr1,130510000,130520000,49.5
chr11,68910000,68920000,chr11,68920000,68930000,49.0
chr11,96310000,96320000,chr11,96320000,96330000,49.0
chr18,3270000,3280000,chr18,3280000,3290000,48.5
chr17,84700000,84710000,chr17,84730000,84740000,48.5
chr10,80130000,80140000,chr10,80140000,80150000,48.5
chr15,101070000,101080000,chr15,101080000,101090000,48.0
chr11,70460000,70470000,chr11,70480000,70490000,48.0
chr4,150280000,150290000,chr4,150290000,150300000,47.5
chr19,10820000,10830000,chr19,10830000,10840000,47.5
chr18,50130000,50140000,chr18,50140000,50150000,47.0
chr2,65010000,65020000,chr2,65020000,65030000,46.5
chr4,11060000,11070000,chr4,11070000,11080000,46.0
chr4,128700000,128710000,chr4,128710000,128720000,45.5
chr7,31100000,31110000,chr7,31110000,31120000,45.5
chr5,139850000,139860000,chr5,139860000,139870000,45.5
chr11,99010000,99020000,chr11,99020000,99030000,45.5
chr6,134770000,134780000,chr6,134780000,134790000,44.5
chr11,77180000,77190000,chr11,77190000,77200000,44.5
chr13,112270000,112280000,chr13,112280000,112290000,44.0
chr14,28040000,28050000,chr14,28050000,28060000,43.5
chr11,115560000,115570000,chr11,115570000,115580000,43.0
chr11,77190000,77200000,chr11,77200000,77210000,43.0
chr5,73640000,73650000,chr5,73650000,73660000,42.5
chr3,51070000,51080000,chr3,51080000,51090000,42.5
chr12,102230000,102240000,chr12,102240000,102250000,42.5
chr13,43950000,43960000,chr13,43960000,43970000,41.5
chr2,28370000,28380000,chr2,28380000,28390000,41.5
chr11,108770000,108780000,chr11,108780000,108790000,41.5
chr15,103060000,103070000,chr15,103070000,103080000,41.5
chr6,51410000,51420000,chr6,51420000,51430000,41.5
chr2,9600000,9610000,chr2,9610000,9620000,41.5
chr2,84870000,84880000,chr2,84880000,84890000,41.0
chr11,86400000,86410000,chr11,86410000,86420000,41.0
chr2,65020000,65030000,chr2,65030000,65040000,41.0
chr8,74840000,74850000,chr8,74870000,74880000,41.0
chr5,123290000,123300000,chr5,123300000,123310000,40.5
chr13,51870000,51880000,chr13,51880000,51890000,40.5
chr14,60870000,60880000,chr14,60880000,60890000,40.5
chr2,173260000,173270000,chr2,173270000,173280000,40.5
chr4,63040000,63050000,chr4,63060000,63070000,40.5
chr10,127100000,127110000,chr10,127110000,127120000,40.0
chr2,127150000,127160000,chr2,127160000,127170000,40.0
chr1,82810000,82820000,chr1,82830000,82840000,39.5
chr17,29530000,29540000,chr17,29570000,29580000,39.5
chr1,43500000,43510000,chr1,43510000,43520000,39.5
chr7,80680000,80690000,chr7,80700000,80710000,39.5
chr12,74810000,74820000,chr12,74820000,74830000,39.0
chr9,43820000,43830000,chr9,43840000,43850000,39.0
