ChrA,StartA,EndA,ChrB,StartB,EndB,Ncontact
chr8,81770000,81780000,chr8,81780000,81790000,10.5
chr6,31190000,31200000,chr6,31200000,31210000,9.0
chr13,24600000,24610000,chr13,24610000,24620000,9.0
chr3,115800000,115810000,chr3,115810000,115820000,8.5
chr11,86580000,86590000,chr11,86590000,86600000,7.5
chr2,11640000,11650000,chr2,11650000,11660000,7.5
chr6,48700000,48710000,chr6,48710000,48720000,7.5
chr1,161750000,161760000,chr1,161760000,161770000,7.5
chr1,60930000,60940000,chr1,60940000,60950000,7.0
chr13,112420000,112430000,chr13,112430000,112440000,7.0
chr8,84970000,84980000,chr8,84980000,84990000,7.0
chr3,115670000,115680000,chr3,115680000,115690000,7.0
chr15,6590000,6600000,chr15,6600000,6610000,7.0
chr1,138130000,138140000,chr1,138140000,138150000,7.0
chr6,129210000,129220000,chr6,129220000,129230000,7.0
chr19,11480000,11490000,chr19,11500000,11510000,7.0
chr5,122980000,122990000,chr5,122990000,123000000,7.0
chr13,42040000,42050000,chr13,42050000,42060000,6.5
chr13,43770000,43780000,chr13,43780000,43790000,6.5
chr13,45900000,45910000,chr13,45910000,45920000,6.5
chr1,160040000,160050000,chr1,160050000,160060000,6.5
chr12,103330000,103340000,chr12,103340000,103350000,6.5
chr11,34770000,34780000,chr11,34780000,34790000,6.5
chr10,98870000,98880000,chr10,98880000,98890000,6.5
chr1,138140000,138150000,chr1,138160000,138170000,6.5
chr8,123000000,123010000,chr8,123010000,123020000,6.5
chr6,48800000,48810000,chr6,48810000,48820000,6.5
chr9,32910000,32920000,chr9,32920000,32930000,6.5
chr9,32720000,32730000,chr9,32730000,32740000,6.5
chr7,12960000,12970000,chr7,12970000,12980000,6.5
chr9,107290000,107300000,chr9,107330000,107340000,6.0
chr1,164060000,164070000,chr1,164070000,164080000,6.0
chr1,165700000,165710000,chr1,165710000,165720000,6.0
chr15,6570000,6580000,chr15,6580000,6590000,6.0
chr1,193190000,193200000,chr1,193200000,193210000,6.0
chr17,29420000,29430000,chr17,29430000,29440000,6.0
chr10,75760000,75770000,chr10,75770000,75780000,6.0
chr1,34850000,34860000,chr1,34860000,34870000,6.0
chr11,118220000,118230000,chr11,118240000,118250000,5.5
chr11,115480000,115490000,chr11,115490000,115500000,5.5
chr8,111570000,111580000,chr8,111580000,111590000,5.5
chr3,21970000,21980000,chr3,21980000,21990000,5.5
chr8,25600000,25610000,chr8,25610000,25620000,5.5
chr7,114300000,114310000,chr7,114310000,114320000,5.5
chr7,73520000,73530000,chr7,73530000,73540000,5.5
chr3,94950000,94960000,chr3,94970000,94980000,5.5
chr7,28380000,28390000,chr7,28390000,28400000,5.5
chr11,69070000,69080000,chr11,69090000,69100000,5.5
chr11,4230000,4240000,chr11,4240000,4250000,5.5
chr6,136540000,136550000,chr6,136550000,136560000,5.5
chr6,113650000,113660000,chr6,113660000,113670000,5.5
chr4,132030000,132040000,chr4,132040000,132050000,5.5
chr15,27660000,27670000,chr15,27670000,27680000,5.5
chr1,128600000,128610000,chr1,128610000,128620000,5.5
chr19,4110000,4120000,chr19,4190000,4200000,5.5
chr14,54210000,54220000,chr14,54220000,54230000,5.5
chr19,8980000,8990000,chr19,8990000,9000000,5.5
chr15,5100000,5110000,chr15,5110000,5120000,5.5
chr1,106600000,106610000,chr1,106610000,106620000,5.5
chr9,61930000,61940000,chr9,61940000,61950000,5.0
chr10,91150000,91160000,chr10,91160000,91170000,5.0
chr15,73130000,73140000,chr15,73140000,73150000,5.0
chr18,34850000,34860000,chr18,34860000,34870000,5.0
chr7,4850000,4860000,chr7,4860000,4870000,5.0
chr6,129210000,129220000,chr6,129230000,129240000,5.0
chr6,48700000,48710000,chr6,48720000,48730000,5.0
chr8,70670000,70680000,chr8,70690000,70700000,5.0
chr16,91460000,91470000,chr16,91470000,91480000,5.0
chr11,62540000,62550000,chr11,62550000,62560000,5.0
chr11,6690000,6700000,chr11,6700000,6710000,5.0
chr10,19580000,19590000,chr10,19590000,19600000,5.0
chr19,11370000,11380000,chr19,11380000,11390000,5.0
chr9,32920000,32930000,chr9,32930000,32940000,5.0
chr14,24480000,24490000,chr14,24490000,24500000,5.0
chr9,73040000,73050000,chr9,73090000,73100000,5.0
chr9,116170000,116180000,chr9,116180000,116190000,5.0
chr19,11510000,11520000,chr19,11520000,11530000,5.0
chr9,32490000,32500000,chr9,32500000,32510000,5.0
chr9,21280000,21290000,chr9,21290000,21300000,5.0
chr10,19060000,19070000,chr10,19070000,19080000,4.5
chr3,94440000,94450000,chr3,94450000,94460000,4.5
chr11,6680000,6690000,chr11,6700000,6710000,4.5
chr3,79270000,79280000,chr3,79280000,79290000,4.5
chr2,129180000,129190000,chr2,129190000,129200000,4.5
chr8,34140000,34150000,chr8,34150000,34160000,4.5
chr17,31510000,31520000,chr17,31560000,31570000,4.5
chr9,114480000,114490000,chr9,114490000,114500000,4.5
chr17,50470000,50480000,chr17,50480000,50490000,4.5
chr18,63690000,63700000,chr18,63700000,63710000,4.5
chr8,84190000,84200000,chr8,84200000,84210000,4.5
chr10,12860000,12870000,chr10,12870000,12880000,4.5
chr8,123000000,123010000,chr8,123020000,123030000,4.5
chr10,44440000,44450000,chr10,44450000,44460000,4.5
chr8,111570000,111580000,chr8,111590000,111600000,4.5
chr2,172990000,173000000,chr2,173080000,173090000,4.5
chr8,25040000,25050000,chr8,25060000,25070000,4.5
chr3,115790000,115800000,chr3,115810000,115820000,4.5
chr10,127060000,127070000,chr10,127070000,127080000,4.5
chr16,43690000,43700000,chr16,43700000,43710000,4.5
chr11,107440000,107450000,chr11,107450000,107460000,4.5
chr1,152000000,152010000,chr1,152010000,152020000,4.5
chr14,51890000,51900000,chr14,51900000,51910000,4.5
chr14,121930000,121940000,chr14,121940000,121950000,4.5
chr13,23530000,23540000,chr13,23550000,23560000,4.5
chr12,100890000,100900000,chr12,100900000,100910000,4.5
chr6,87500000,87510000,chr6,87510000,87520000,4.5
chr6,117890000,117900000,chr6,117900000,117910000,4.5
chr6,129180000,129190000,chr6,129230000,129240000,4.5
chr4,8910000,8920000,chr4,8920000,8930000,4.5
chr6,48720000,48730000,chr6,48730000,48740000,4.5
chr11,52260000,52270000,chr11,52270000,52280000,4.5
chr2,24900000,24910000,chr2,24910000,24920000,4.5
chr2,24930000,24940000,chr2,24940000,24950000,4.5
chr11,46420000,46430000,chr11,46430000,46440000,4.5
chr7,132730000,132740000,chr7,132760000,132770000,4.5
chr19,11360000,11370000,chr19,11370000,11380000,4.5
chr5,110270000,110280000,chr5,110280000,110290000,4.0
chr4,132510000,132520000,chr4,132530000,132540000,4.0
chr5,86070000,86080000,chr5,86080000,86090000,4.0
chr17,46870000,46880000,chr17,46880000,46890000,4.0
chr1,60890000,60900000,chr1,60940000,60950000,4.0
chr9,42240000,42250000,chr9,42260000,42270000,4.0
chr9,32610000,32620000,chr9,32620000,32630000,4.0
chr5,96970000,96980000,chr5,96980000,96990000,4.0
chr5,103350000,103360000,chr5,103360000,103370000,4.0
chr8,84970000,84980000,chr8,84990000,85000000,4.0
chr5,147060000,147070000,chr5,147070000,147080000,4.0
chr4,32350000,32360000,chr4,32360000,32370000,4.0
chr17,47430000,47440000,chr17,47440000,47450000,4.0
chr6,48690000,48700000,chr6,48710000,48720000,4.0
chr7,75780000,75790000,chr7,75790000,75800000,4.0
chr1,60740000,60750000,chr1,60750000,60760000,4.0
chr7,75370000,75380000,chr7,75450000,75460000,4.0
chr1,53800000,53810000,chr1,53820000,53830000,4.0
chr8,111560000,111570000,chr8,111590000,111600000,4.0
chr19,4110000,4120000,chr19,4120000,4130000,4.0
chr3,52840000,52850000,chr3,52850000,52860000,4.0
chr9,63710000,63720000,chr9,63720000,63730000,4.0
chr2,157120000,157130000,chr2,157130000,157140000,4.0
chr11,118230000,118240000,chr11,118240000,118250000,4.0
chr11,99170000,99180000,chr11,99180000,99190000,4.0
chr9,65190000,65200000,chr9,65200000,65210000,4.0
chr12,51860000,51870000,chr12,51870000,51880000,4.0
chr12,73590000,73600000,chr12,73600000,73610000,4.0
chr11,87750000,87760000,chr11,87760000,87770000,4.0
chr15,60110000,60120000,chr15,60130000,60140000,4.0
chr16,33740000,33750000,chr16,33750000,33760000,4.0
chr11,46370000,46380000,chr11,46380000,46390000,4.0
chr11,11720000,11730000,chr11,11730000,11740000,4.0
chr15,27640000,27650000,chr15,27650000,27660000,4.0
chr13,55430000,55440000,chr13,55440000,55450000,4.0
chr11,115480000,115490000,chr11,115510000,115520000,4.0
chr14,73320000,73330000,chr14,73330000,73340000,4.0
chr11,4180000,4190000,chr11,4200000,4210000,4.0
chr9,114440000,114450000,chr9,114450000,114460000,4.0
chr14,70540000,70550000,chr14,70570000,70580000,4.0
chr9,65190000,65200000,chr9,65210000,65220000,4.0
chr17,35250000,35260000,chr17,35260000,35270000,4.0
chr13,112390000,112400000,chr13,112440000,112450000,4.0
chr11,101550000,101560000,chr11,101560000,101570000,4.0
chr6,31190000,31200000,chr6,31210000,31220000,3.5
chr13,107820000,107830000,chr13,107830000,107840000,3.5
chr19,32170000,32180000,chr19,32180000,32190000,3.5
chr14,20680000,20690000,chr14,20690000,20700000,3.5
chr15,62160000,62170000,chr15,62170000,62180000,3.5
chr19,11360000,11370000,chr19,11480000,11490000,3.5
chr4,136060000,136070000,chr4,136070000,136080000,3.5
chr4,149650000,149660000,chr4,149710000,149720000,3.5
chr6,54850000,54860000,chr6,54860000,54870000,3.5
chr4,150550000,150560000,chr4,150560000,150570000,3.5
chr12,80800000,80810000,chr12,80810000,80820000,3.5
chr5,33620000,33630000,chr5,33650000,33660000,3.5
chr6,48700000,48710000,chr6,48730000,48740000,3.5
chr5,140630000,140640000,chr5,140640000,140650000,3.5
chr14,40940000,40950000,chr14,40960000,40970000,3.5
chr6,29830000,29840000,chr6,29850000,29860000,3.5
chr19,11480000,11490000,chr19,11490000,11500000,3.5
chr13,23530000,23540000,chr13,23540000,23550000,3.5
chr5,122220000,122230000,chr5,122230000,122240000,3.5
chr5,123040000,123050000,chr5,123050000,123060000,3.5
chr7,19220000,19230000,chr7,19300000,19310000,3.5
chr11,102230000,102240000,chr11,102240000,102250000,3.5
chr8,70880000,70890000,chr8,70890000,70900000,3.5
chr9,65530000,65540000,chr9,65540000,65550000,3.5
chr9,32610000,32620000,chr9,32630000,32640000,3.5
chr9,75430000,75440000,chr9,75440000,75450000,3.5
chr9,107290000,107300000,chr9,107310000,107320000,3.5
chr17,36020000,36030000,chr17,36030000,36040000,3.5
chr10,13040000,13050000,chr10,13050000,13060000,3.5
chr10,19000000,19010000,chr10,19010000,19020000,3.5
chr10,22290000,22300000,chr10,22300000,22310000,3.5
chr10,68270000,68280000,chr10,68280000,68290000,3.5
chr17,34600000,34610000,chr17,34610000,34620000,3.5
chr10,93160000,93170000,chr10,93170000,93180000,3.5
chr18,34930000,34940000,chr18,34950000,34960000,3.5
chr10,96610000,96620000,chr10,96620000,96630000,3.5
chr4,102560000,102570000,chr4,102570000,102580000,3.5
chr19,10730000,10740000,chr19,10740000,10750000,3.5
chr18,65310000,65320000,chr18,65320000,65330000,3.5
chr11,4530000,4540000,chr11,4590000,4600000,3.5
chr8,25590000,25600000,chr8,25600000,25610000,3.5
chr11,32530000,32540000,chr11,32580000,32590000,3.5
chr8,14980000,14990000,chr8,14990000,15000000,3.5
chr7,127180000,127190000,chr7,127190000,127200000,3.5
chr16,23130000,23140000,chr16,23220000,23230000,3.5
chr11,96440000,96450000,chr11,96450000,96460000,3.5
chr7,73520000,73530000,chr7,73550000,73560000,3.5
chr11,97680000,97690000,chr11,97700000,97710000,3.5
chr11,98490000,98500000,chr11,98510000,98520000,3.5
chr7,16840000,16850000,chr7,16870000,16880000,3.5
chr19,9910000,9920000,chr19,9980000,9990000,3.5
chr14,40940000,40950000,chr14,40950000,40960000,3.5
chrX,140530000,140540000,chrX,140540000,140550000,3.5
chr2,119020000,119030000,chr2,119030000,119040000,3.5
chr3,35720000,35730000,chr3,35740000,35750000,3.5
chr1,53770000,53780000,chr1,53780000,53790000,3.5
chr1,60870000,60880000,chr1,60880000,60890000,3.5
chr3,131150000,131160000,chr3,131160000,131170000,3.5
chr4,46500000,46510000,chr4,46530000,46540000,3.5
chr2,157110000,157120000,chr2,157140000,157150000,3.5
chr1,60910000,60920000,chr1,60940000,60950000,3.5
chr2,11630000,11640000,chr2,11650000,11660000,3.5
chr1,134050000,134060000,chr1,134060000,134070000,3.5
chr1,36260000,36270000,chr1,36270000,36280000,3.5
chr9,32930000,32940000,chr9,32940000,32950000,3.0
chr11,11690000,11700000,chr11,11730000,11740000,3.0
chr7,27470000,27480000,chr7,27480000,27490000,3.0
chr1,160020000,160030000,chr1,160050000,160060000,3.0
chr7,28690000,28700000,chr7,28700000,28710000,3.0
chr7,28780000,28790000,chr7,28800000,28810000,3.0
chr13,112420000,112430000,chr13,112440000,112450000,3.0
chr9,107980000,107990000,chr9,108000000,108010000,3.0
chr11,32530000,32540000,chr11,32540000,32550000,3.0
chr9,107980000,107990000,chr9,108050000,108060000,3.0
chr7,120830000,120840000,chr7,120910000,120920000,3.0
chr7,73550000,73560000,chr7,73580000,73590000,3.0
chr7,73550000,73560000,chr7,73600000,73610000,3.0
chr3,131120000,131130000,chr3,131160000,131170000,3.0
chr3,52610000,52620000,chr3,52630000,52640000,3.0
chr11,6410000,6420000,chr11,6440000,6450000,3.0
chr11,3320000,3330000,chr11,3330000,3340000,3.0
chr10,128490000,128500000,chr10,128520000,128530000,3.0
chr11,46270000,46280000,chr11,46360000,46370000,3.0
chr11,46270000,46280000,chr11,46430000,46440000,3.0
chr2,102870000,102880000,chr2,102880000,102890000,3.0
chr13,112390000,112400000,chr13,112430000,112440000,3.0
chr9,73040000,73050000,chr9,73070000,73080000,3.0
chr1,53790000,53800000,chr1,53820000,53830000,3.0
chr11,98940000,98950000,chr11,98950000,98960000,3.0
chr13,48510000,48520000,chr13,48540000,48550000,3.0
chr6,54840000,54850000,chr6,54860000,54870000,3.0
chr11,96970000,96980000,chr11,97040000,97050000,3.0
chr11,96440000,96450000,chr11,96460000,96470000,3.0
chr19,5810000,5820000,chr19,5840000,5850000,3.0
chr19,4180000,4190000,chr19,4190000,4200000,3.0
chr2,32490000,32500000,chr2,32570000,32580000,3.0
chr11,70500000,70510000,chr11,70510000,70520000,3.0
chr6,127410000,127420000,chr6,127420000,127430000,3.0
chr13,101700000,101710000,chr13,101710000,101720000,3.0
chr4,8790000,8800000,chr4,8800000,8810000,3.0
chr2,69770000,69780000,chr2,69780000,69790000,3.0
chr7,75680000,75690000,chr7,75700000,75710000,3.0
chr2,157110000,157120000,chr2,157130000,157140000,3.0
chr15,27640000,27650000,chr15,27710000,27720000,3.0
chr2,172390000,172400000,chr2,172400000,172410000,3.0
chr10,62180000,62190000,chr10,62190000,62200000,3.0
chr8,109690000,109700000,chr8,109700000,109710000,3.0
chr10,57740000,57750000,chr10,57790000,57800000,3.0
chr2,166620000,166630000,chr2,166700000,166710000,3.0
chr8,113620000,113630000,chr8,113630000,113640000,3.0
chr10,42880000,42890000,chr10,42900000,42910000,3.0
chr8,122930000,122940000,chr8,122990000,123000000,3.0
chr8,123030000,123040000,chr8,123040000,123050000,3.0
chr3,115800000,115810000,chr3,115930000,115940000,3.0
chr16,23170000,23180000,chr16,23220000,23230000,3.0
chr15,9520000,9530000,chr15,9530000,9540000,3.0
chr3,89870000,89880000,chr3,89900000,89910000,3.0
chr16,52120000,52130000,chr16,52140000,52150000,3.0
chr10,12810000,12820000,chr10,12840000,12850000,3.0
chr16,43660000,43670000,chr16,43690000,43700000,3.0
chr15,27640000,27650000,chr15,27660000,27670000,3.0
chr14,121930000,121940000,chr14,122060000,122070000,3.0
chr10,68100000,68110000,chr10,68130000,68140000,3.0
chr8,81760000,81770000,chr8,81810000,81820000,3.0
chr10,68240000,68250000,chr10,68270000,68280000,3.0
chr17,47500000,47510000,chr17,47520000,47530000,3.0
chr7,141090000,141100000,chr7,141130000,141140000,3.0
chr3,60480000,60490000,chr3,60500000,60510000,3.0
chr19,10730000,10740000,chr19,10760000,10770000,3.0
chr14,54210000,54220000,chr14,54230000,54240000,3.0
chr8,25600000,25610000,chr8,25620000,25630000,3.0
chr15,66780000,66790000,chr15,66800000,66810000,3.0
chr9,114450000,114460000,chr9,114490000,114500000,3.0
chr8,72260000,72270000,chr8,72310000,72320000,3.0
chr10,80740000,80750000,chr10,80820000,80830000,3.0
chr8,72270000,72280000,chr8,72360000,72370000,3.0
chr8,72340000,72350000,chr8,72360000,72370000,3.0
chr8,81490000,81500000,chr8,81610000,81620000,3.0
chr2,163090000,163100000,chr2,163100000,163110000,3.0
chr8,81490000,81500000,chr8,81760000,81770000,3.0
chr13,45370000,45380000,chr13,45380000,45390000,3.0
chr15,75960000,75970000,chr15,75980000,75990000,3.0
chr12,107120000,107130000,chr12,107140000,107150000,3.0
chr12,110490000,110500000,chr12,110500000,110510000,3.0
chr19,11510000,11520000,chr19,11530000,11540000,3.0
chr5,112270000,112280000,chr5,112290000,112300000,3.0
chr5,113770000,113780000,chr5,113830000,113840000,3.0
chr11,104380000,104390000,chr11,104420000,104430000,3.0
chr4,132630000,132640000,chr4,132650000,132660000,3.0
chr19,41910000,41920000,chr19,41930000,41940000,3.0
chr12,70960000,70970000,chr12,71040000,71050000,3.0
chr13,43760000,43770000,chr13,43770000,43780000,3.0
chr5,64800000,64810000,chr5,64810000,64820000,3.0
chr19,53310000,53320000,chr19,53320000,53330000,3.0
chr4,135950000,135960000,chr4,135960000,135970000,3.0
chr19,40580000,40590000,chr19,40610000,40620000,3.0
chr5,72750000,72760000,chr5,72760000,72770000,3.0
chr4,123570000,123580000,chr4,123580000,123590000,3.0
chr5,135950000,135960000,chr5,135960000,135970000,3.0
chr19,11350000,11360000,chr19,11360000,11370000,3.0
chr19,11350000,11360000,chr19,11370000,11380000,3.0
chr12,86800000,86810000,chr12,86810000,86820000,3.0
chr4,150550000,150560000,chr4,150580000,150590000,3.0
chr10,68140000,68150000,chr10,68270000,68280000,2.5
chr8,72260000,72270000,chr8,72360000,72370000,2.5
chr17,26530000,26540000,chr17,26570000,26580000,2.5
chr19,12470000,12480000,chr19,12510000,12520000,2.5
chr4,150790000,150800000,chr4,150800000,150810000,2.5
chr3,103780000,103790000,chr3,103800000,103810000,2.5
chr10,68200000,68210000,chr10,68280000,68290000,2.5
chr8,81700000,81710000,chr8,81760000,81770000,2.5
chr8,83740000,83750000,chr8,83950000,83960000,2.5
chr8,81500000,81510000,chr8,81610000,81620000,2.5
chr8,83590000,83600000,chr8,83600000,83610000,2.5
chr17,33960000,33970000,chr17,33980000,33990000,2.5
chr14,73320000,73330000,chr14,73340000,73350000,2.5
