ChrA,StartA,EndA,ChrB,StartB,EndB,Ncontact
chr9,32530000,32540000,chr9,32540000,32550000,128.5
chr12,74690000,74700000,chr12,74700000,74710000,125.5
chr17,84720000,84730000,chr17,84730000,84740000,101.5
chr16,43690000,43700000,chr16,43700000,43710000,98.0
chr11,86390000,86400000,chr11,86400000,86410000,96.0
chr7,108690000,108700000,chr7,108700000,108710000,95.0
chr6,129160000,129170000,chr6,129170000,129180000,94.5
chr11,87560000,87570000,chr11,87570000,87580000,93.0
chr1,60960000,60970000,chr1,60970000,60980000,87.0
chr13,113210000,113220000,chr13,113220000,113230000,85.5
chr1,167630000,167640000,chr1,167640000,167650000,83.0
chr4,134470000,134480000,chr4,134480000,134490000,81.5
chr8,87490000,87500000,chr8,87510000,87520000,81.5
chr6,31140000,31150000,chr6,31150000,31160000,81.0
chr8,35200000,35210000,chr8,35210000,35220000,78.5
chr3,106580000,106590000,chr3,106590000,106600000,78.5
chr10,22010000,22020000,chr10,22020000,22030000,78.0
chr11,34580000,34590000,chr11,34590000,34600000,78.0
chr7,80670000,80680000,chr7,80680000,80690000,77.5
chr1,165990000,166000000,chr1,166000000,166010000,75.0
chr2,32340000,32350000,chr2,32350000,32360000,74.5
chr10,18780000,18790000,chr10,18790000,18800000,74.0
chr8,26710000,26720000,chr8,26720000,26730000,73.5
chr15,9450000,9460000,chr15,9460000,9470000,72.5
chr8,14980000,14990000,chr8,14990000,15000000,72.0
chr8,87490000,87500000,chr8,87500000,87510000,72.0
chr15,27590000,27600000,chr15,27600000,27610000,71.5
chr3,115500000,115510000,chr3,115510000,115520000,71.5
chr17,28340000,28350000,chr17,28350000,28360000,71.0
chr1,60930000,60940000,chr1,60940000,60950000,70.0
chr13,55530000,55540000,chr13,55540000,55550000,70.0
chr15,5050000,5060000,chr15,5060000,5070000,69.5
chr15,6520000,6530000,chr15,6530000,6540000,69.5
chr18,35010000,35020000,chr18,35020000,35030000,69.0
chr8,84290000,84300000,chr8,84300000,84310000,69.0
chr7,105720000,105730000,chr7,105730000,105740000,69.0
chr13,43870000,43880000,chr13,43880000,43890000,68.5
chr8,114110000,114120000,chr8,114120000,114130000,68.0
chr19,10810000,10820000,chr19,10830000,10840000,67.5
chr7,80690000,80700000,chr7,80700000,80710000,65.5
chr15,66620000,66630000,chr15,66630000,66640000,64.0
chr7,29160000,29170000,chr7,29170000,29180000,63.5
chr17,29560000,29570000,chr17,29570000,29580000,63.5
chr9,116080000,116090000,chr9,116090000,116100000,63.0
chr1,36320000,36330000,chr1,36330000,36340000,62.0
chr19,4110000,4120000,chr19,4120000,4130000,62.0
chr11,118090000,118100000,chr11,118100000,118110000,62.0
chr11,6590000,6600000,chr11,6600000,6610000,61.5
chr6,48650000,48660000,chr6,48660000,48670000,61.5
chr4,149930000,149940000,chr4,149940000,149950000,61.0
chr5,114270000,114280000,chr5,114280000,114290000,60.5
chr9,32510000,32520000,chr9,32540000,32550000,60.5
chr10,44160000,44170000,chr10,44170000,44180000,58.5
chr8,26710000,26720000,chr8,26730000,26740000,58.0
chr1,135950000,135960000,chr1,135960000,135970000,57.5
chr9,77750000,77760000,chr9,77760000,77770000,57.0
chr9,25050000,25060000,chr9,25060000,25070000,56.5
chr10,19290000,19300000,chr10,19310000,19320000,56.0
chr11,118080000,118090000,chr11,118100000,118110000,56.0
chr19,10810000,10820000,chr19,10820000,10830000,55.5
