Contact_pair,HiChip1,HiChip2,Contact_group_HiChip
chr1_138140000to138150000andchr1_138170000to138180000,9.5,5.5,2TnG
chr6_48690000to48700000andchr6_48700000to48710000,9.0,8.5,2TnG
chr2_11190000to11200000andchr2_11200000to11210000,8.5,5.5,2TnG
chr11_98480000to98490000andchr11_98490000to98500000,8.0,7.0,2TnG
chr17_72930000to72940000andchr17_72940000to72950000,8.0,5.5,2TnG
chr11_118140000to118150000andchr11_118150000to118160000,8.0,2.5,2TnG
chr1_60760000to60770000andchr1_60770000to60780000,8.0,5.5,2TnG
chr19_11480000to11490000andchr19_11510000to11520000,8.0,2.5,2TnG
chr13_24600000to24610000andchr13_24610000to24620000,8.0,9.0,2TnG
chr4_137350000to137360000andchr4_137360000to137370000,7.5,3.5,2TnG
chr2_11630000to11640000andchr2_11640000to11650000,7.5,7.0,2TnG
chr15_60130000to60140000andchr15_60140000to60150000,7.0,5.5,2TnG
chr14_70060000to70070000andchr14_70070000to70080000,7.0,5.5,2TnG
chr6_134920000to134930000andchr6_134940000to134950000,6.5,3.5,2TnG
chr10_96600000to96610000andchr10_96610000to96620000,6.5,5.5,2TnG
chr8_126840000to126850000andchr8_126850000to126860000,6.5,5.0,2TnG
chr1_60740000to60750000andchr1_60750000to60760000,6.5,4.0,2TnG
chr4_59320000to59330000andchr4_59330000to59340000,6.0,4.0,2TnG
chr17_31200000to31210000andchr17_31220000to31230000,6.0,3.5,2TnG
chr15_76350000to76360000andchr15_76360000to76370000,6.0,4.5,2TnG
chr1_138130000to138140000andchr1_138170000to138180000,6.0,4.0,2TnG
chr9_32910000to32920000andchr9_32930000to32940000,6.0,1.5,2TnG
chr6_54840000to54850000andchr6_54850000to54860000,6.0,3.5,2TnG
chr9_32910000to32920000andchr9_32920000to32930000,6.0,6.5,2TnG
chr1_53790000to53800000andchr1_53800000to53810000,6.0,6.0,2TnG
chr8_126850000to126860000andchr8_126860000to126870000,6.0,10.0,2TnG
chr7_28780000to28790000andchr7_28790000to28800000,6.0,3.0,2TnG
chr3_135730000to135740000andchr3_135740000to135750000,5.5,4.5,2TnG
chr14_121930000to121940000andchr14_122000000to122010000,5.5,0.0,2TnG
chr6_48690000to48700000andchr6_48730000to48740000,5.5,0.0,2TnG
chr6_48700000to48710000andchr6_48730000to48740000,5.5,3.5,2TnG
chr11_69060000to69070000andchr11_69070000to69080000,5.5,5.5,2TnG
chr5_65320000to65330000andchr5_65330000to65340000,5.5,2.5,2TnG
chr6_94660000to94670000andchr6_94680000to94690000,5.5,5.0,2TnG
chr4_134910000to134920000andchr4_134920000to134930000,5.5,3.0,2TnG
chr6_31180000to31190000andchr6_31190000to31200000,5.5,3.0,2TnG
chr2_102860000to102870000andchr2_102870000to102880000,5.5,2.5,2TnG
chr8_81760000to81770000andchr8_81770000to81780000,5.5,5.5,2TnG
chr9_32920000to32930000andchr9_32930000to32940000,5.5,5.0,2TnG
chr7_102250000to102260000andchr7_102260000to102270000,5.5,2.5,2TnG
chr8_123030000to123040000andchr8_123040000to123050000,5.5,3.0,2TnG
chr10_42860000to42870000andchr10_42890000to42900000,5.5,2.5,2TnG
chr9_65520000to65530000andchr9_65530000to65540000,5.0,3.5,2TnG
chr1_144270000to144280000andchr1_144290000to144300000,5.0,2.5,2TnG
chr6_48720000to48730000andchr6_48730000to48740000,5.0,4.5,2TnG
chr8_72260000to72270000andchr8_72360000to72370000,5.0,2.5,2TnG
chr10_19000000to19010000andchr10_19010000to19020000,5.0,3.5,2TnG
chr2_157110000to157120000andchr2_157120000to157130000,5.0,4.0,2TnG
chr10_19170000to19180000andchr10_19180000to19190000,5.0,6.5,2TnG
chr6_48680000to48690000andchr6_48690000to48700000,5.0,3.5,2TnG
chr9_114440000to114450000andchr9_114450000to114460000,5.0,4.0,2TnG
chr2_11620000to11630000andchr2_11630000to11640000,5.0,5.0,2TnG
chr2_11620000to11630000andchr2_11640000to11650000,5.0,4.5,2TnG
chr8_126580000to126590000andchr8_126660000to126670000,5.0,0.0,2TnG
chr1_60750000to60760000andchr1_60760000to60770000,5.0,6.5,2TnG
chr13_112390000to112400000andchr13_112420000to112430000,5.0,0.0,2TnG
chr14_27350000to27360000andchr14_27380000to27390000,5.0,3.5,2TnG
chr6_129230000to129240000andchr6_129240000to129250000,5.0,1.5,2TnG
chr11_98490000to98500000andchr11_98510000to98520000,5.0,3.5,2TnG
chr9_32690000to32700000andchr9_32700000to32710000,5.0,5.0,2TnG
chr11_99120000to99130000andchr11_99130000to99140000,5.0,1.5,2TnG
chr1_60890000to60900000andchr1_60900000to60910000,5.0,3.5,2TnG
chr17_66100000to66110000andchr17_66110000to66120000,5.0,2.5,2TnG
chr4_101180000to101190000andchr4_101250000to101260000,5.0,2.5,2TnG
chr4_150540000to150550000andchr4_150550000to150560000,4.5,0.0,2TnG
chr4_155190000to155200000andchr4_155200000to155210000,4.5,4.0,2TnG
chr8_126830000to126840000andchr8_126840000to126850000,4.5,4.5,2TnG
chr12_79620000to79630000andchr12_79640000to79650000,4.5,3.0,2TnG
chr5_122980000to122990000andchr5_122990000to123000000,4.5,7.0,2TnG
chr4_102500000to102510000andchr4_102510000to102520000,4.5,3.0,2TnG
chr19_25050000to25060000andchr19_25060000to25070000,4.5,5.5,2TnG
chr12_100880000to100890000andchr12_100890000to100900000,4.5,7.5,2TnG
chr4_46570000to46580000andchr4_46590000to46600000,4.5,2.0,2TnG
chr13_24610000to24620000andchr13_24630000to24640000,4.5,4.0,2TnG
chr2_11640000to11650000andchr2_11650000to11660000,4.5,7.5,2TnG
chr3_131120000to131130000andchr3_131140000to131150000,4.5,4.0,2TnG
chr14_27380000to27390000andchr14_27400000to27410000,4.5,2.0,2TnG
chr14_79520000to79530000andchr14_79530000to79540000,4.5,5.0,2TnG
chr1_52010000to52020000andchr1_52020000to52030000,4.5,4.0,2TnG
chr1_52000000to52010000andchr1_52010000to52020000,4.5,1.5,2TnG
chr16_23220000to23230000andchr16_23230000to23240000,4.5,3.5,2TnG
chr19_29350000to29360000andchr19_29360000to29370000,4.5,3.5,2TnG
chr11_61640000to61650000andchr11_61650000to61660000,4.5,7.0,2TnG
chr11_106670000to106680000andchr11_106680000to106690000,4.5,4.0,2TnG
chr10_14040000to14050000andchr10_14050000to14060000,4.5,5.0,2TnG
chr1_91250000to91260000andchr1_91260000to91270000,4.5,3.5,2TnG
chr7_16040000to16050000andchr7_16050000to16060000,4.5,3.0,2TnG
chr6_149130000to149140000andchr6_149140000to149150000,4.5,2.0,2TnG
chr6_129180000to129190000andchr6_129210000to129220000,4.5,2.5,2TnG
chr10_117940000to117950000andchr10_117950000to117960000,4.5,4.0,2TnG
chr10_118870000to118880000andchr10_118880000to118890000,4.5,2.5,2TnG
chr11_6680000to6690000andchr11_6690000to6700000,4.5,4.5,2TnG
chr1_138130000to138140000andchr1_138140000to138150000,4.5,7.0,2TnG
chr8_81490000to81500000andchr8_81700000to81710000,4.5,1.5,2TnG
chr6_113650000to113660000andchr6_113660000to113670000,4.5,5.5,2TnG
chr1_165660000to165670000andchr1_165720000to165730000,4.5,2.0,2TnG
chr4_108300000to108310000andchr4_108310000to108320000,4.0,6.5,2TnG
chr6_48690000to48700000andchr6_48720000to48730000,4.0,0.0,2TnG
chr10_96370000to96380000andchr10_96390000to96400000,4.0,4.0,2TnG
chr7_28790000to28800000andchr7_28860000to28870000,4.0,1.5,2TnG
chr7_75570000to75580000andchr7_75600000to75610000,4.0,2.0,2TnG
chr15_12200000to12210000andchr15_12220000to12230000,4.0,3.5,2TnG
chr5_134180000to134190000andchr5_134330000to134340000,4.0,2.5,2TnG
chr11_118220000to118230000andchr11_118230000to118240000,4.0,4.5,2TnG
chr14_54220000to54230000andchr14_54230000to54240000,4.0,2.0,2TnG
chr14_54210000to54220000andchr14_54220000to54230000,4.0,5.5,2TnG
chr10_58350000to58360000andchr10_58370000to58380000,4.0,1.5,2TnG
chr9_114450000to114460000andchr9_114480000to114490000,4.0,5.5,2TnG
chr10_98780000to98790000andchr10_98790000to98800000,4.0,2.5,2TnG
chr11_95330000to95340000andchr11_95380000to95390000,4.0,0.0,2TnG
chr9_45980000to45990000andchr9_45990000to46000000,4.0,4.0,2TnG
chr13_24610000to24620000andchr13_24640000to24650000,4.0,2.0,2TnG
chr11_70500000to70510000andchr11_70520000to70530000,4.0,0.0,2TnG
chr6_120110000to120120000andchr6_120120000to120130000,4.0,3.0,2TnG
chr10_122730000to122740000andchr10_122740000to122750000,4.0,4.5,2TnG
chr8_126830000to126840000andchr8_126850000to126860000,4.0,4.5,2TnG
chr10_80690000to80700000andchr10_80700000to80710000,4.0,3.5,2TnG
chr6_108530000to108540000andchr6_108540000to108550000,4.0,2.0,2TnG
chr8_81700000to81710000andchr8_81760000to81770000,4.0,2.5,2TnG
chr11_54520000to54530000andchr11_54530000to54540000,4.0,2.5,2TnG
chr12_84220000to84230000andchr12_84240000to84250000,4.0,0.0,2TnG
chr8_25590000to25600000andchr8_25600000to25610000,4.0,3.5,2TnG
chr4_122880000to122890000andchr4_122890000to122900000,4.0,3.0,2TnG
chr12_85440000to85450000andchr12_85450000to85460000,4.0,3.5,2TnG
chr10_75430000to75440000andchr10_75440000to75450000,4.0,3.0,2TnG
chr1_36250000to36260000andchr1_36260000to36270000,4.0,4.0,2TnG
chr18_70520000to70530000andchr18_70530000to70540000,4.0,3.5,2TnG
chr16_52060000to52070000andchr16_52120000to52130000,4.0,2.0,2TnG
