ChrA,StartA,EndA,ChrB,StartB,EndB,Ncontact
chr10,18780000,18790000,chr10,18900000,18910000,151.5
chr14,54830000,54840000,chr14,54840000,54850000,135.0
chr10,18890000,18900000,chr10,18900000,18910000,126.0
chr6,48670000,48680000,chr6,48680000,48690000,119.0
chr2,11110000,11120000,chr2,11120000,11130000,117.5
chr5,123430000,123440000,chr5,123440000,123450000,114.0
chr2,11560000,11570000,chr2,11570000,11580000,111.5
chr8,129370000,129380000,chr8,129380000,129390000,107.5
chr10,18730000,18740000,chr10,18780000,18790000,106.0
chr5,124480000,124490000,chr5,124520000,124530000,105.0
chr17,26630000,26640000,chr17,26640000,26650000,103.0
chr4,155390000,155400000,chr4,155400000,155410000,101.5
chr1,161970000,161980000,chr1,161980000,161990000,100.5
chr13,24690000,24700000,chr13,24700000,24710000,100.0
chr17,29620000,29630000,chr17,29630000,29640000,97.0
chr10,92620000,92630000,chr10,92630000,92640000,94.5
chr15,96460000,96470000,chr15,96470000,96480000,94.0
chr9,61510000,61520000,chr9,61520000,61530000,91.5
chr14,54840000,54850000,chr14,54850000,54860000,91.0
chr10,18730000,18740000,chr10,18900000,18910000,91.0
chr10,19210000,19220000,chr10,19220000,19230000,86.5
chr11,6580000,6590000,chr11,6590000,6600000,86.0
chr1,60800000,60810000,chr1,60810000,60820000,85.5
chr2,58000000,58010000,chr2,58010000,58020000,85.0
chr8,129370000,129380000,chr8,129390000,129400000,85.0
chr9,32730000,32740000,chr9,32740000,32750000,83.5
chr10,13760000,13770000,chr10,13770000,13780000,81.5
chr4,32330000,32340000,chr4,32340000,32350000,81.0
chr19,11550000,11560000,chr19,11560000,11570000,80.5
chr17,47660000,47670000,chr17,47670000,47680000,78.5
chr9,32510000,32520000,chr9,32530000,32540000,77.0
chr10,117380000,117390000,chr10,117390000,117400000,75.5
chr5,112700000,112710000,chr5,112710000,112720000,74.5
chr9,114340000,114350000,chr9,114350000,114360000,74.0
chr7,121210000,121220000,chr7,121230000,121240000,73.5
